ID,Household income,Household size,Rainfall,Ave temp dry,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay,tA,Wd,td,t2,A2,W2,d2,t3,A3,W3,d3,t4,A4,W4,d4,t5,A5,W5,d5
1,100000,7,2,29.1,20,136.01,4,200,330,380,6600,51683.8,2720.2,400,108900,144400,18498.7201,8000,35937000,54872000,2516010.921,160000,11859210000,20851360000,342202645.3,3200000,3.91354E+12,7.92352E+12,46542981792
2,50000,7,2,29.1,50,349.69,2,120,165,210,8250,73434.9,17484.5,2500,27225,44100,122283.0961,125000,4492125,9261000,42761175.88,6250000,741200625,1944810000,14953155592,312500000,1.22298E+11,4.0841E+11,5.22897E+12
3,85000,6,2,29.1,20,335.43,7,200,450,500,9000,167715,6708.6,400,202500,250000,112513.2849,8000,91125000,125000000,37740331.15,160000,41006250000,62500000000,12659239279,3200000,1.84528E+13,3.125E+13,4.24629E+12
4,80000,8,2,29.1,35,310.44,2,160,165,210,5775,65192.4,10865.4,1225,27225,44100,96372.9936,42875,4492125,9261000,29918032.13,1500625,741200625,1944810000,9287753895,52521875,1.22298E+11,4.0841E+11,2.88329E+12
5,75000,7,2,29.1,30,276.74,0,180,285,330,8550,91324.2,8302.2,900,81225,108900,76585.0276,27000,23149125,35937000,21194140.54,810000,6597500625,11859210000,5865266452,24300000,1.88029E+12,3.91354E+12,1.62315E+12
6,50000,7,2,29.1,45,224.96,2,120,330,380,14850,85484.8,10123.2,2025,108900,144400,50607.0016,91125,35937000,54872000,11384551.08,4100625,11859210000,20851360000,2561068611,184528125,3.91354E+12,7.92352E+12,5.76138E+11
7,75000,7,2,29.1,30,167.03,4,180,150,200,4500,33406,5010.9,900,22500,40000,27899.0209,27000,3375000,8000000,4659973.461,810000,506250000,1600000000,778355367.2,24300000,75937500000,3.2E+11,1.30009E+11
8,75000,9,2,29.1,20,122.1,3,200,210,260,4200,31746,2442,400,44100,67600,14908.41,8000,9261000,17576000,1820316.861,160000,1944810000,4569760000,222260688.7,3200000,4.0841E+11,1.18814E+12,27138030094
9,75000,7,2,29.1,30,107.42,3,180,165,210,4950,22558.2,3222.6,900,27225,44100,11539.0564,27000,4492125,9261000,1239525.438,810000,741200625,1944810000,133149822.6,24300000,1.22298E+11,4.0841E+11,14302953944
10,75000,9,2,29.1,20,151.09,3,220,400,450,8000,67990.5,3021.8,400,160000,202500,22828.1881,8000,64000000,91125000,3449110.94,160000,25600000000,41006250000,521126171.9,3200000,1.024E+13,1.84528E+13,78736953317
11,75000,6,2,29.1,20,249,1,200,200,250,4000,62250,4980,400,40000,62500,62001,8000,8000000,15625000,15438249,160000,1600000000,3906250000,3844124001,3200000,3.2E+11,9.76563E+11,9.57187E+11
12,75000,9,2,29.1,20,290,8,200,210,260,4200,75400,5800,400,44100,67600,84100,8000,9261000,17576000,24389000,160000,1944810000,4569760000,7072810000,3200000,4.0841E+11,1.18814E+12,2.05111E+12
13,75000,6,2,29.1,35,266.37,6,140,285,330,9975,87902.1,9322.95,1225,81225,108900,70952.9769,42875,23149125,35937000,18899744.46,1500625,6597500625,11859210000,5034324931,52521875,1.88029E+12,3.91354E+12,1.34099E+12
14,75000,8,2,29.1,40,238.1,3,160,165,210,6600,50001,9524,1600,27225,44100,56691.61,64000,4492125,9261000,13498272.34,2560000,741200625,1944810000,3213938644,102400000,1.22298E+11,4.0841E+11,7.65239E+11
15,75000,7,2,29.1,60,203.82,0,100,120,170,7200,34649.4,12229.2,3600,14400,28900,41542.5924,216000,1728000,4913000,8467211.183,12960000,207360000,835210000,1725786983,777600000,24883200000,1.41986E+11,3.5175E+11
16,75000,7,2,29.1,30,156.35,2,180,285,330,8550,51595.5,4690.5,900,81225,108900,24445.3225,27000,23149125,35937000,3822026.173,810000,6597500625,11859210000,597573792.1,24300000,1.88029E+12,3.91354E+12,93430662399
17,75000,6,2,29.1,40,104.85,2,140,285,330,11400,34600.5,4194,1600,81225,108900,10993.5225,64000,23149125,35937000,1152670.834,2560000,6597500625,11859210000,120857537,102400000,1.88029E+12,3.91354E+12,12671912750
18,45000,8,2,29.1,40,76.55,1,160,165,210,6600,16075.5,3062,1600,27225,44100,5859.9025,64000,4492125,9261000,448575.5364,2560000,741200625,1944810000,34338457.31,102400000,1.22298E+11,4.0841E+11,2628608907
19,40000,7,2,29.1,60,52.61,2,100,280,330,16800,17361.3,3156.6,3600,78400,108900,2767.8121,216000,21952000,35937000,145614.5946,12960000,6146560000,11859210000,7660783.821,777600000,1.72104E+12,3.91354E+12,403033836.8
20,105000,6,2,29.1,20,126.21,1,200,450,500,9000,63105,2524.2,400,202500,250000,15928.9641,8000,91125000,125000000,2010394.559,160000,41006250000,62500000000,253731897.3,3200000,1.84528E+13,3.125E+13,32023502758
21,100000,9,2,29.1,20,189.99,0,220,300,350,6000,66496.5,3799.8,400,90000,122500,36096.2001,8000,27000000,42875000,6857917.057,160000,8100000000,15006250000,1302935662,3200000,2.43E+12,5.25219E+12,2.47545E+11
22,105000,9,2,29.1,20,251.53,7,200,210,260,4200,65397.8,5030.6,400,44100,67600,63267.3409,8000,9261000,17576000,15913634.26,160000,1944810000,4569760000,4002756425,3200000,4.0841E+11,1.18814E+12,1.00681E+12
